$ eslint .
=== test spot batch fetch directly ===
1175 symbols returned:
  AIOUSDT    price=0.092535
  TOWNSUSDT  price=0.001976
  PROVEUSDT  price=0.1994
  INUSDT     price=0.04701
  GHOUSDT    price=1.0035
  XCXUSDT    price=0.003526
  WAIUSDT    price=0.01336
  PUBLICUSDT price=0.00547
  TCOMUSDT   price=0.008208
  SAPIENUSDT price=0.07937
  ARIAUSDT   price=0.02324
  BTRUSDT    price=0.01866
  CAMPUSDT   price=0.000653
  WLFIUSD1   price=0.1788
  WLFIUSDT   price=0.05773
  QUSDT      price=0.020457
  SOMIUSDT   price=0.1035
  TRADOORUSDT price=0.4133
  OPENUSDT   price=0.14881
  AVNTUSDT   price=0.09635
  LINEAUSDT  price=0.002396
  FROGGIEUSDT price=0.004844
  HOLOUSDT   price=0.07236
  ZKCUSDT    price=0.04427
  AIAUSDT    price=0.052999
  BARDUSDT   price=0.13082
  0GUSDT     price=0.1887
  BLESSUSDT  price=0.0077919
  RIVERUSDT  price=3.2999
  XPLUSDT    price=0.09307
  COAIUSDT   price=0.3105
  MIRAUSDT   price=0.04331
  LIGHTUSDT  price=0.11743
  FFUSDT     price=0.06011
  TOSHIUSDT  price=0.0001132
  EDENUSDT   price=0.04307
  NOMUSDT    price=0.001608
  2ZUSDT     price=0.070675
  CGNUSDT    price=0.00233
  ASTERUSDT  price=0.6248
  KGENUSDT   price=0.16096
  LABUSDT    price=0.50054
  ENSOUSDT   price=0.7229
  RECALLUSDT price=0.03287
  YBUSDT     price=0.0755
  ZBTUSDT    price=0.1166
  RVVUSDT    price=0.0001402
  METUSDT    price=0.1509
  APRUSDT    price=0.21468
  VELVETUSDT price=0.48493
  BAYUSDT    price=0.010351
  KITEUSDT   price=0.11354
  PLAIUSDT   price=0.001901
  MMTUSDT    price=0.1758
  TRUSTUSDT  price=0.04999
  UAIUSDT    price=0.35508
  JCTUSDT    price=0.003342
  ALLOUSDT   price=0.3772
  GAIBUSDT   price=0.01402
  USDTUSD    price=0.9993
  MONUSDT    price=0.02264
  IRYSUSDT   price=0.01324
  USDCUSD    price=0.9999
  RLSUSDT    price=0.002263
  POWERUSDT  price=0.076979
  STABLEUSDT price=0.03671
  USUSDT     price=0.024042
  CYSUSDT    price=0.29585
  RAVEUSDT   price=0.26711
  VSNUSDT    price=0.03396
  MAGMAUSDT  price=0.40435
  IRUSDT     price=0.01405
  VOOIUSDT   price=0.008156
  RTXUSDT    price=1.0577
  COLLECTUSDT price=0.041736
  AIAVUSDT   price=0.001642
  BREVUSDT   price=0.0757
  ZTCUSDT    price=0.0005497
  FUNUSDT    price=0.02118
  FOGOUSDT   price=0.00977
  LITUSDT    price=2.621
  ROLLUSDT   price=0.05905
  SKRUSDT    price=0.009105
  GWEIUSDT   price=0.057148
  SENTUSDT   price=0.013461
  SPACEUSDT  price=0.006151
  USATUSDT   price=0.9998
  BIRBUSDT   price=0.0614
  ARTXUSDT   price=0.10468
  ZAMAUSDT   price=0.03414
  TRIAUSDT   price=0.008274
  WARDUSDT   price=0.004511
  ROBOUSDT   price=0.01311
  BTWUSDT    price=0.060762
  BSBUSDT    price=0.14082
  USDGOUSD   price=0.9999
  USDGOUSDC  price=1.0001
  USDGOUSDT  price=1.0007
  OPNUSDT    price=0.0644
  MANTRAUSDT price=0.006471
  GOOGLONUSDT price=358.91
  AAPLONUSDT price=315.33
  NVDAONUSDT price=210.56
  TSLAONUSDT price=408.9
  METAONUSDT price=670.27
  AMZNONUSDT price=245.76
  MSFTONUSDT price=385.88
  AMDONUSDT  price=560.6
  SPYONUSDT  price=758.78
  IVVONUSDT  price=759.27
  QQQONUSDT  price=728.87
  IWMONUSDT  price=293.6
  ITOTONUSDT price=167.92
  IAUONUSDT  price=77.53
  SLVONUSDT  price=53.95
  KATUSDT    price=0.005187
  BGSOLSOL   price=1.1614
  PRLUSDT    price=0.1712
  EDGEUSDT   price=0.4154
  MEZOUSDT   price=0.0113
  NIGHTUSDT  price=0.03055
  GENIUSUSDT price=0.34178
  BGBTCUSDT  price=63965.41
  PRESPCXUSDT price=145
  RTSLAUSDT  price=407.03
  RNVDAUSDT  price=210.06
  UMXMUSDT   price=2.27082
  CCUSDT     price=0.13628
  BLENDUSDT  price=0.06249
  PROSUSDT   price=0.4055
  AIUSDT     price=0.026297
  ACNUSDT    price=0.00597
  MEGAUSDT   price=0.04634
  BILLUSDT   price=0.045566
  KAIOUSDT   price=0.020768
  ILYUSDT    price=0.553543
  PREOPAIUSDT price=824.37
  BABYSHARKUSDT price=0.0053
  UPUSDT     price=0.06021
  NEXUSDT    price=0.000002119
  UUSDC      price=0.9999
  UUSDT      price=1.0005
  SLXUSDT    price=0.15732
  BTCU       price=63908.59
  UNITASUSDT price=0.3186
  RQQQUSDT   price=727.4
  RCRDOUSDT  price=258.76
  RLITEUSDT  price=803.24
  RSNDKUSDT  price=1956.27
  RAAOIUSDT  price=121.86
  RAXTIUSDT  price=57.25
  RBEUSDT    price=239.42
  RNOKUSDT   price=12.42
  RCLWUSDT   price=15.82
  RCIENUSDT  price=462.5
  RFNUSDT    price=471
  RDELLUSDT  price=435.55
  RSIMOUSDT  price=326.44
  RRMBSUSDT  price=112.45
  RNTAPUSDT  price=169.35
  RTSMUSDT   price=436.98
  RPLTRUSDT  price=126.78
  RAVGOUSDT  price=400.03
  RAAPLUSDT  price=313.55
  RASMLUSDT  price=1800.75
  RNTNXUSDT  price=54.9
  RIONQUSDT  price=42.96
  RRKLBUSDT  price=81.87
  RMSFTUSDT  price=385.09
  RINTCUSDT  price=112.14
  RGOOGLUSDT price=357.23
  RHOODUSDT  price=112.05
  RMUUSDT    price=978.56
  RCRCLUSDT  price=66.93
  RMETAUSDT  price=668.43
  RAMZNUSDT  price=245.62
  RSPYUSDT   price=754.89
  RLRCXUSDT  price=351.17
  RAMATUSDT  price=604.78
  RETNUSDT   price=407.07
  RVRTUSDT   price=319.63
  RSMCIUSDT  price=28.46
  RMRVLUSDT  price=237.73
  RARMUSDT   price=324.1
  RAMDUSDT   price=560.11
  RAPPUSDT   price=506.65
  RSTXUSDT   price=911.46
  RWDCUSDT   price=581.18
  RALABUSDT  price=412.8
  RANETUSDT  price=187.68
  RMPUSDT    price=52.22
  RACHRUSDT  price=4.76
  RJOBYUSDT  price=7.77
  RQUBTUSDT  price=8.71
  RQBTSUSDT  price=20.14
  RRGTIUSDT  price=16.64
  ROKLOUSDT  price=48.86
  RVSTUSDT   price=158.41
  RCEGUSDT   price=251.19
  RORCLUSDT  price=140.87
  RCRWDUSDT  price=186.76
  RPANWUSDT  price=325.8
  RMSTRUSDT  price=96.24
  RCOINUSDT  price=159.73
  RNXPIUSDT  price=292.98
  RTXNUSDT   price=312
  RQCOMUSDT  price=188.77
  RPLUGUSDT  price=2.26
  RCVNAUSDT  price=65.94
  RRIVNUSDT  price=17.49
  RCOSTUSDT  price=915.93
  RLIUSDT    price=12.17
  RVUSDT     price=349.51
  RNIOUSDT   price=4.79
  RJPMUSDT   price=336.86
  RPDDUSDT   price=85.22
  RBAUSDT    price=222.18
  RRTXUSDT   price=195.74
  RBABAUSDT  price=112.52
  RSMRUSDT   price=9.01
  RSPOTUSDT  price=479.9
  RNEEUSDT   price=87.76
  RUBERUSDT  price=74.7
  RGEVUSDT   price=1093
